speed,accuracy,acceleration_magnitude,DFT_E1,mode,DFT_E2,DFT_E3
0,16,11.69130897,136.6867054,walking,139.9577672,139.9577672
0,16,12.03699341,144.8892104,walking,154.7178686,157.2766797
0.8789924,6,11.41000995,130.1883271,walking,130.1883271,126.9020993
1.0514463,6,13.80618092,190.6106316,walking,188.2407695,218.2568821
0,905,12.56918609,157.9844391,walking,146.6904732,127.5974773
1.1312865,8,12.47859902,155.7154334,walking,150.926114,145.6050196
1.1247878,8,12.94564634,167.5897592,walking,172.4034276,168.0953129
0,905,10.70187597,114.5301492,walking,126.7858661,129.0295636
1.1908313,6,13.49706177,182.1706764,walking,198.9115714,217.4302479
1.1908313,6,12.34184002,152.321015,walking,163.3558856,163.3558856
1.1908313,6,7.291683347,53.16864603,walking,284.6032741,292.1471501
1.5446255,12,10.59164017,112.1828416,walking,480.8536652,435.0389325
1.3220195,16,8.851230243,78.34427681,walking,36.59383331,67.00368083
1.3220195,16,11.68733236,136.5937377,walking,139.454292,139.454292
1.3220195,16,14.25049241,203.076534,walking,176.1434045,158.7849584
1.3220195,16,12.69438263,161.1473502,walking,161.1473502,166.8487153
0,16,14.37977283,206.7778668,walking,206.7778668,190.6507943
0,16,11.80984397,139.4724146,walking,140.2286708,143.1014879
0,8,11.76314935,138.3716825,walking,127.2882566,126.5243831
0,16,11.86836806,140.8581605,walking,140.8581605,134.112556
0,905,11.5691876,133.8461016,walking,113.9845136,122.7969756
1.1745969,12,15.35032721,235.6325453,walking,208.2863286,168.4754102
0.9323401,16,4.278832871,18.30841074,walking,18.30841074,18.30841074
0.9323401,16,13.55295784,183.6826661,walking,425.9192149,282.3842244
0,905,12.79892,163.8123531,walking,25.58976486,18.68389087
0,24,24.46654235,598.6116945,walking,598.6116945,172.1943294
0,858,5.633401237,31.73520949,walking,25.01450848,27.40163101
1.1245327,16,10.32515245,106.6087731,walking,112.5924569,73.74937352
0,858,10.63433541,113.0890896,walking,130.0341439,130.0341439
0,858,14.1319599,199.7122905,walking,172.2923187,172.2923187
0.9833438,8,10.33615408,106.8360811,walking,191.280996,157.8178307
0.9833438,8,11.81604976,139.619032,walking,139.619032,139.619032
0,858,11.19109562,125.2406212,walking,125.2406212,125.2406212
0,8,12.28816308,150.9989519,walking,115.2993755,110.5932189
0,8,12.89708874,166.334898,walking,159.3084185,148.3962505
0.87316436,8,11.13113355,123.902134,walking,147.1948575,148.6478306
0,858,10.10748871,102.161328,walking,102.161328,116.0063067
0,858,9.736865085,94.80654168,walking,94.80654168,94.80654168
0,858,13.00415536,169.1080567,walking,163.7246342,172.9409016
0.8169887,6,11.66241377,136.011895,walking,154.9393743,158.1379195
0.8281529,6,12.62087337,159.2864446,walking,145.8690576,149.9035708
1.1172355,6,12.41389652,154.1048268,walking,154.8585681,151.4473954
0,858,13.3816665,179.0689984,walking,133.0961954,135.5289259
0.91688466,8,11.13992361,124.0978981,walking,122.4895455,121.3720152
0.9998699,6,10.90016361,118.8135668,walking,126.5342073,132.5599405
0,858,14.71863402,216.6381875,walking,131.7976893,129.3917785
0.83818847,6,11.68097572,136.4451938,walking,136.4451938,166.6411601
0.9091668,6,12.37223612,153.0722266,walking,123.777594,117.7956251
0.9752349,6,9.908429672,98.17697857,walking,103.0829666,105.960498
0.8536372,12,11.55323465,133.477231,walking,133.6966211,131.6527413
0,858,13.67875111,187.108232,walking,101.2557335,113.4400068
0,858,11.04767653,122.0511568,walking,130.9149672,132.7183389
0,858,11.23283306,126.1765385,walking,121.0570172,117.8793151
0.9193869,16,11.10190841,123.2523704,walking,115.3188917,110.5216045
0.9629933,12,13.95723601,194.8044371,walking,210.1863966,206.1025153
0,12,12.08467172,146.0392906,walking,112.8756422,119.9495339
0.9840748,6,10.43641634,108.9187861,walking,97.66002209,114.691967
0,8,10.09335522,101.8758196,walking,102.7641466,106.2810152
0.8936295,16,13.73406184,188.6244547,walking,188.6244547,206.9152044
0,6,13.16021402,173.1912331,walking,158.5647364,158.5647364
0,12,14.42359667,208.0401408,walking,208.0401408,208.0401408
0.6119074,8,9.919843025,98.40328565,walking,97.3064125,97.60202043
1.0798662,8,10.02284588,100.4574396,walking,91.41259127,87.21843854
1.1553103,8,11.64622989,135.6346707,walking,135.6346707,161.0423509
1.2633325,6,10.95357025,119.9807013,walking,141.7786072,143.4228988
1.257026,6,11.87431556,140.99937,walking,140.99937,170.4028044
3.455934,12,13.62192937,185.5569598,auto,172.9945474,161.8143925
5.253451,12,11.618954,135.000092,auto,140.0813787,131.4753285
0,16,12.38363125,153.3543228,auto,136.2165684,133.0307611
2.2149677,8,12.37785902,153.2113939,auto,153.2113939,142.4562469
2.2149677,8,12.08387473,146.0200285,auto,127.6432065,125.411566
3.4105012,8,13.23232923,175.0945369,auto,171.527913,160.8047895
2.9799929,6,11.61784947,134.9744264,auto,161.5726845,173.5380133
3.0490444,8,10.52094698,110.6903253,auto,111.6360698,114.476611
0,12,12.13590481,147.2801857,auto,142.1525177,143.0886226
0,12,12.28738674,150.9798728,auto,150.9798728,145.7339948
0,6,11.6081531,134.7492183,auto,139.6778862,143.9026726
0,6,12.20742448,149.0212125,auto,151.5465556,147.1416298
3.3018577,8,12.1359553,147.281411,auto,140.5111326,137.9937339
3.2107358,12,13.6370142,185.9681564,auto,136.1846736,124.6861578
4.9629927,8,8.94385643,79.99256785,auto,120.2343774,106.8733763
4.9629927,8,6.787416059,46.06901676,auto,110.2638225,113.5612358
5.2311068,12,12.88496352,166.0222849,auto,112.9414938,113.2339665
0,16,12.07616974,145.8338756,auto,144.7964189,141.9944722
2.556587,12,14.72217563,216.7424554,auto,307.0677109,392.8701018
3.2424483,16,10.95229314,119.952725,auto,149.3141985,153.6462493
3.2424483,16,12.06416147,145.543992,auto,145.543992,145.543992
3.5412216,12,11.00108115,121.0237864,auto,121.0237864,130.6390875
4.2289877,12,12.28105827,150.8243922,auto,105.2406075,105.2406075
0,16,12.18500145,148.4742604,auto,146.9641044,148.7596492
0,16,12.02670385,144.6416056,auto,144.6416056,144.6416056
0,16,13.09782837,171.5531079,auto,171.5531079,142.8641601
0,16,11.69605575,136.79772,auto,129.7299559,126.2460487
0,16,12.00956749,144.2297112,auto,144.2297112,149.9954339
0,6,11.88091056,141.1560358,auto,141.8808091,144.4407296
